prompt,completion
"Big news from YouTube. Two of my favorite people. Sad to see Robert Kyncl leave - we started about the same time at Google, and have overlapped and collaborated on many topics. Incredible deal maker and strategic mind. And so excited for Mary Ellen Coe who is a brilliant executive, combining world class operations, people leadership and strategy. Both are magnetic leaders, build followership and relate well to others - and are just wicked smart, fun and overall great friends and team mates.",0
"Sadly, on my second day at the office, I got laid off at Wayfair.I accepted this offer 4 months ago and relocated from Amsterdam to Berlin this August after 4 months of Visa procedure. I was really excited to start the new job as I was happy with the company, position and the team. On the first day at the office, I was so warmly welcomed and everyone in the team was so nice and collaborative, nobody would have expected that things could turn into 870 people being laid off in just a day. Unfortunately, my dutch visa is now expired and I am currently on a D type German visa, so I have about 3 months to secure a new position, otherwise, I will have to move all the way back to China. I have one year experience in account management at advertising agency combined with almost 2 years’ experience in digital marketing. Since I barely know anyone in Germany, and now actively looking for a position in Berlin or Amsterdam (or remotely in the EU). Please if anyone knows any relevant openings in the field of account management or marketing roles, I would very appreciate and be pleased to discuss further.",0
"Modern fraud prevention and identity theft protection relies on detailed, accurate, and recent data. People Data Labs provides a single source of truth for your data by enriching your existing records or pulling net-new data in minutes with over 150 data points from our easy to use API.",0
Here are the 13 best no-code tools in the world 👇,0
"Big day today! We're launching Dover's 2nd product :) We launched out of YC in 2019 and were focused on helping companies find great candidates. Over the past two years, we’ve had a chance to work with 200+ incredible companies like Scale AI, Stripe, Bill.com and Vanta.
Our biggest learning along the way is that sourcing the right people is only part of the battle. What happens once they're in the process is equally, if not more, important.
Our newest product offering, Candidate Management, helps companies create a world-class candidate experience by managing phone screens, communications and scheduling throughout the full interview process.",1
"Our Partner, Myrto Papathanou, met this week Lerna AI's Founders Georgios Depastas and Georgios Kellaris at their head office in sunny Montreal! ",0
"If you're less than 10 years into a go-to-market tech career, nothing beats being in an office full of people.

You'll learn faster, be more visible to leadership, and build a wider network within the company.

This is especially true in a GTM role. If you want a career with the highest upside, work from a proper HQ if you can.

Sorry, it's not what some people want to hear. But it's a fact.",0
"Very proud to announce the launch of a new #flutter app Wonderous that I helped create. It's a GORGEOUS journey through the 8 wonders of the world designed and built by our friends at gskinner.
",1
I’m happy to share that I’m starting a new position as Senior Product Manager at PayPal!,1
"Pumped to finally reveal what my team and I have been working on these last few months. It’s been amazing to launch Instacart's biggest and most exciting brand campaign yet, Featuring the incomparable Lizzo!!

What an epic journey! Thank you to this phenomenal team, partners and creative minds who made this magical world come to life! 💙",1
"Thankful to be a part of the #indian #growthstory.

Check out how we at Utkarsh India Limited are contributing to building our nation across each state ",1
"I got the JOB! 💪🏾 That’s it, that’s the post.",1
I gained 5M followers over the course of 2 months. Here's how:,1
Humbled & excited to announce that I've just accepted an offer to join Google as a software engineer.,1
Learned a lot from this livestream session on how to improve your site's checkout conversion,0
Now I'm out of school and solving problems most people choose not to address because it's simply human nature to take the path of least resistance. Are you ready for what I'm about to do? Because I am.,1
"10/10 recommend planning quarterly onsites at your beautiful Utah office to see your team in person!

I love working remote but I definitely missed true human interaction. It's crazy what we've been able to accomplish with just quick side conversations!",0
"Dan Price was charged with assaulting multiple women while Emily Weiss was scrutinized for a fishbowl without fish in it. Travis Kalanick was taking employees to an escort bar in Seoul while Sierra Tishgart was rumored to have taken credit for another woman's chicken recipe.
I analyzed language in major CEO takedown articles & they are not the same!
Women are proactively taken down based on behavior that men don’t get noticed for, while men are retroactively taken down for extreme missteps that have already come to light.",0
"I'm on top of the world!! 🇯🇵⛰🙌
Yesterday, I climbed to the top of Mt Fuji with my uber amazing Uber colleagues, carrying an Uber Eats backpack😆 It brought so many smiles to the other hikers and there was even another hiker with the same backpack!! Not only is the bag comfortable, it also stored a lot and it was easy to find everything inside. I highly recommend getting one for yourself!!🤩",1
"People think working in web3 space means:

- Lots of jargon
- Becoming wealthy and flashy very quickly
- Spending all day designing monkeys and selling them for $100k+
- Traveling the world

What #web3 actually is:

- Lots of doubts about whether the product is needed
- Lots of Zoom calls
- Lots of sleepless nights
- Lots of building, testing, debugging and iterating

Nothing is easy as it seems. 

I hope that helps.",0
"A lot of people would look at my resume and think I'm average. I never worked at big well-known companies. I never carried big senior titles. On paper, I would get passed on for almost any senior marketing role. But the robot that scanned my resume doesn't see that I built a powerful demand gen engine from the groun dup inside a $30MM company. The middle manager skimming my resume didn't see how I'm constantly innovating to stay close to the customer. The CEO didn't see how I built two 6-figure e-commerce companies from my bedroom in my early 20s. So I stopped playing the old antiquated game built in the 1950s to be a cog in the machine. And I started playing the new game. Content marketing is the new resume",1
"Today, health takes a big step forward. Love raises $7.5M from some incredible investors.

For the first time ever, the people will power pharma.

Our goal: launch the Love DAO in December and heal as many people as possible.",1
"Today, the NY Times wrote a hit piece on Bolt. 

The part they missed: everything about our business.
 
Here’s why Bolt is going to win",0
This week the NY Times wrote about my paper on generative modeling for images. I'm so happy & thrilled to see my work featured!,1
"We made every mistake in the book while building Bolt, but it was learning from those mistakes—and committing to never making them again!—that made us successful as a company. Here are some of the top mistakes and our learnings from them.",1
Such a great feature on Bolt's acquisition of Wyre in The Wall Street Journal. Thrilled to join forces and to welcome their immensely talented team. Cryptocurrency’s mainstreaming moment starts now 🚀🚀,1
Culture is vital. You have to bridge execution with humanity. Thanks to Dan Primack and Axios for a great discussion yesterday 🚀,1
"The last magazine cover I made was when I was five years old, my dad’s golf range was on the cover of a local South Florida magazine.

Today, 22 yrs later, I made another one!

I’m beyond grateful for my parents who taught me work ethic and my teams who fight with me each and every day. This one’s for you!",1
"I'm in love with the culture at Google ! Today, I was part of my first ever Noogler Social hour and we got to hear an amazing keynote from our Sr. VP. Her story of Under-represented groups truly inspired me.",1
We’ve made some improvements to help you better fight disputes. Our redesigned response form is easier to use and recommends the best type of evidence to submit. We also now show the card network code for the reason for the dispute.,0
