step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,25,1,1.3903738999690785,0.0,0.0,0.9217340078904818,0.0,0.0,,,,,,
2,74,2,0.7557165091939775,0.0,0.0,,,,,,,,,
3,131,3,0.7038698082070499,0.0,0.0,,,,,,,,,
4,180,4,0.7040720905240352,0.0,0.0,,,,,,,,,
5,253,5,0.5362422453433459,0.0,0.0,,,,,,,,,
6,278,6,1.020554009519401,0.0,0.0,,,,,,,,,
7,343,7,0.585731786697852,0.0,0.0,,,,,,,,,
8,456,8,0.46524274339839655,0.0,0.0,,,,,,,,,
9,561,9,0.3121722151340622,0.0,0.0,0.32806250893277583,0.0,0.0,,,,,,
10,650,10,0.32863068222881836,0.0,0.0,,,,,,,,,
11,683,11,0.25644358755089347,1.0,1.0,,,,,,,,,
12,740,12,0.3387260913325008,0.0,0.0,,,,,,,,,
13,789,13,0.3588775728222875,0.0,0.0,,,,,,,,,
14,854,14,0.35702441066969187,1.0,1.0,,,,,,,,,
15,919,15,0.3945546623319388,0.0,0.0,,,,,,,,,
16,968,16,0.33065663232021814,1.0,1.0,,,,,,,,,
17,1041,17,0.3462524737810276,0.0,0.0,0.32474036278203133,1.0,1.0,,,,,,
18,1114,18,0.29264684415158826,1.0,1.0,,,,,,,,,
19,1147,19,0.23357132059973082,1.0,1.0,,,,,,,,,
20,1204,20,0.2856430418090895,1.0,1.0,,,,,,,,,
21,1261,21,0.3420610940937227,1.0,1.0,,,,,,,,,
22,1342,22,0.42722841429087577,0.0,0.0,,,,,,,,,
23,1407,23,0.30815408243825004,1.0,1.0,,,,,,,,,
24,1448,24,0.3128819981447305,1.0,1.0,,,,,,,,,
25,1497,25,0.31909114446801445,1.0,1.0,0.2289473730171184,1.0,1.0,,,,,,
26,1738,26,0.30552318619137325,0.0,0.0,,,,,,,,,
27,1795,27,0.33118346664705317,1.0,1.0,,,,,,,,,
28,1876,28,0.2681802331755171,1.0,1.0,,,,,,,,,
29,1909,29,0.3604525331058539,1.0,1.0,,,,,,,,,
30,2006,30,0.24341192114886026,1.0,1.0,,,,,,,,,
