prompt,completion
"#5G isn't an option for Stanley Black & Decker, it's a necessity.

Jon Strickland chats with their CIO, Rhonda Gass, to hear how #technology solutions are driving revenue. Listen to Episode 14 of #TheRestlessOnes, our collaboration with iHeartRadio.
https://t-mo.co/3GXOpem",0
"Product School is hosting a Webinar: Building Inclusive AI Products by Google Product Lead, Tulsee Doshi. Sign up for free.",1
"Facebook just took a massive step towards making tech hiring more fair.

Our top rotational program, which gets tens of thousands of applications, will no longer accept referrals.

This means candidates who don’t know someone already working at Facebook won’t be at an unfair disadvantage in the application process.

The biggest obstacle to diversity in tech is diverse candidates often lack the referrals necessary to get their foot in the door.

Every applicant deserves equal consideration and resume evaluation, regardless of their connections!

Incredibly proud that Facebook is being the first major tech company to do this and hope other companies follow suit.

#facebook #hiring #productmanagement",1
"Across my LI Learning course, YouTube channel (youtube.com/rpandey1234), and involvement with Codepath, I make several hundred dollars a month.

If you're an engineer, creating courses is quickly becoming the most popular way to make money online. 💰💰

#onlineteaching #passiveincome #softwareengineer",1
"Education should be a basic human right, but in many parts of the world that’s simply not the case.

This Giving Tuesday, if you have the means, I hope you will consider donating to enable education for children who otherwise won’t have access to it.

There’s a nonprofit I support called Asha for Education that led the development of over 160 schools across 22 states of India last year alone and improved the lives of over 219,000 children. I’ll link it below for anyone interested in donating. Facebook is currently matching all donations made!

For every reshare of this post, I’ll also donate $5 to Asha (for the first 100 reshares). Please consider donating or sharing this wonderful organization with your network to help enable equal access to education for kids who need it the most.

https://lnkd.in/gQ44Pp59

#ASHAforEducation #GivingTuesday #LIGivingTuesday",0
"I am excited to share that I am starting a new adventure tomorrow. After more than 4 years @Twitter, I am joining Bolt as their Chief People Officer. I will also be overseeing their nonprofit, Conscious.org focused on the future of work and corporate culture. Ryan Breslow 🦁 Breslow’s vision for Bolt is to democratize commerce with a unique one-click checkout technology and a fast-growing network of shoppers while also transforming corporate cultures everywhere by bridging execution and humanity. I look forward to being on the incredible team he has built to drive both of these missions!",1
"NBT is in the news! 🙌 

Our #Prometheus IoT sensor-based development platform made headlines again this week with Synzen. For those of you that don't already know, Prometheus is designed to simplify prototyping and speed time to market for developers of IoT and Cloud-based solutions.

During the development of Prometheus, we selected Synzen's antenna solutions as they offered market-leading performance when combined with the nRF9160 Nordic SiP from Nordic Semiconductor, boosting connectivity and power consumption.

The latest press release has more insights from #Synzen's Technical Director Chris Tomlin, and our very own Florian Heptner, Senior Hardware Engineer at Next Big Thing AG!
Read it here👇
#IoT #Engineering #Development #Sensors
Jasmin Skenderi Harald Zapp Maik Käbisch",0
"We are looking for a Visual Designer (f/m/d) for our office in Stuttgart.

Help us create meaningful products, services and systems of the future. Our team members are as diverse as our projects: UX and product designers, creative technologists, artificial intelligence specialists, biologists and architects join forces to make organizational and digital change happen for our clients.

Join our small and effective innovation lab. We are looking forward to receiving your application!

#jobs #designer #designers #creative",0
"Our Fact #30 for #FactFriday - intracranial pressure (ICP)
For many diseases of the brain, it is necessary to measure the pressure inside the skull. This pressure is called intracranial pressure (ICP). Broadly speaking, there are three components inside the skull: Brain tissue, cerebrospinal fluid and vessels/blood. If the volume of one of these components increases, the ICP will change. This is the case in acute hydrocephalus, but also tumors and brain haemorrhages can disrupt the balance between the three components and result in an increased ICP. ICP is currently measured with different invasive systems, each with their own characteristics and challenges. The measurement of ICP is in itself only a monitoring-tool, which, if necessary, has to be combined with ICP regulating measures.",0
"We're super excited to welcome seven new faces to NBT and our ventures! 🥳

Everyone say 'Hi! 👋' to:

👷 Saif, joining the ConcR Tech team
⚙️ Dr. Luigi Ghezzi, coming in for Makula Technology
🌎 Niklas Oettle, starting at #NBT
🚀 Jan Gerbershagen, also joining #NBT
💰 Morgan C., working for Skytale

And the following two who are joining the AssistMe team:
🧓 Jonas Kathan
📟 Ali Can Erk

We're happy to have you all on board with us! 😄",0
