step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,193,1,0.38105972205888367,0.0,0.0,0.48290598596878614,0.0,0.0,,,,,,
2,234,2,0.8468082438806596,0.0,0.0,,,,,,,,,
3,275,3,0.9870214802577539,0.0,0.0,,,,,,,,,
4,324,4,0.7394171721107947,0.0,0.0,,,,,,,,,
5,509,5,0.3222329124133744,0.0,0.0,,,,,,,,,
6,758,6,0.365286985764279,0.0,0.0,,,,,,,,,
7,871,7,0.4282666712391858,0.0,0.0,,,,,,,,,
8,928,8,0.6930544611074895,0.0,0.0,,,,,,,,,
9,1081,9,0.38971544164447364,0.0,0.0,0.4753850816807244,0.0,0.0,,,,,,
10,1106,10,0.543779103970155,0.0,0.0,,,,,,,,,
11,1147,11,0.4380112465983257,1.0,1.0,,,,,,,,,
12,1188,12,0.4485612588375807,0.0,0.0,,,,,,,,,
13,1261,13,0.38514350151591414,0.0,0.0,,,,,,,,,
14,1286,14,0.2844739437724153,1.0,1.0,,,,,,,,,
15,1335,15,0.2569060433694782,1.0,1.0,,,,,,,,,
16,1392,16,0.2877946800577254,1.0,1.0,,,,,,,,,
17,1913,17,0.23459811207232778,0.0,0.0,0.38150535142558517,0.0,0.0,,,,,,
18,2018,18,0.23842413166547397,1.0,1.0,,,,,,,,,
19,2123,19,0.26899942318873055,1.0,1.0,,,,,,,,,
20,2276,20,0.32387746153338076,0.0,0.0,,,,,,,,,
21,2341,21,0.3249541858560406,0.0,0.0,,,,,,,,,
22,2406,22,0.35775158293254206,0.0,0.0,,,,,,,,,
23,2751,23,0.32087119015765875,1.0,1.0,,,,,,,,,
24,2824,24,0.34793790711814326,0.0,0.0,,,,,,,,,
25,2969,25,0.24934875258818967,1.0,1.0,0.15700048462676933,1.0,1.0,,,,,,
26,3146,26,0.23115202366501436,1.0,1.0,,,,,,,,,
27,3195,27,0.42050622670600807,0.0,0.0,,,,,,,,,
28,3436,28,0.2601314387508804,0.0,0.0,,,,,,,,,
29,3677,29,0.28338131686090495,1.0,1.0,,,,,,,,,
30,3798,30,0.2983082638018216,0.0,0.0,,,,,,,,,
31,3855,31,0.2714214329441477,1.0,1.0,,,,,,,,,
32,3912,32,0.3099868159599801,0.0,0.0,,,,,,,,,
33,3937,33,0.38852370080615706,1.0,1.0,0.2588165637180888,1.0,1.0,,,,,,
34,4026,34,0.29970089001210665,0.0,0.0,,,,,,,,,
35,4731,35,0.23263460584600107,0.0,0.0,,,,,,,,,
36,4948,36,0.23367266150904742,1.0,1.0,,,,,,,,,
37,4989,37,0.4180738844024018,0.0,0.0,,,,,,,,,
38,5094,38,0.248545642321607,1.0,1.0,,,,,,,,,
39,5135,39,0.21036717563722052,1.0,1.0,,,,,,,,,
40,5288,40,0.3672075703256077,0.0,0.0,,,,,,,,,
41,5369,41,0.2960858687074506,0.0,0.0,0.3532344465500501,1.0,1.0,,,,,,
42,5418,42,0.38829246546374635,1.0,1.0,,,,,,,,,
43,5491,43,0.30962528049324956,1.0,1.0,,,,,,,,,
44,5556,44,0.2881507145812066,1.0,1.0,,,,,,,,,
45,5629,45,0.2632316204487476,1.0,1.0,,,,,,,,,
46,5678,46,0.2523991790153862,1.0,1.0,,,,,,,,,
47,5791,47,0.2689607569111104,0.0,0.0,,,,,,,,,
48,5888,48,0.25691597191944315,0.0,0.0,,,,,,,,,
49,6041,49,0.3810277857548116,0.0,0.0,0.26215665412978284,1.0,1.0,,,,,,
50,6122,50,0.27769575800208257,0.0,0.0,,,,,,,,,
51,6235,51,0.31189996828060046,1.0,1.0,,,,,,,,,
52,6380,52,0.26973478671004864,1.0,1.0,,,,,,,,,
53,6453,53,0.2451805526416542,1.0,1.0,,,,,,,,,
54,6718,54,0.29571809441413005,1.0,1.0,,,,,,,,,
55,7039,55,0.2945225382401941,1.0,1.0,,,,,,,,,
56,7096,56,0.26212019952955806,1.0,1.0,,,,,,,,,
57,7201,57,0.2908555408599428,1.0,1.0,0.2203047518269159,1.0,1.0,,,,,,
58,7402,58,0.268152469787874,1.0,1.0,,,,,,,,,
59,7459,59,0.3161482019000687,1.0,1.0,,,,,,,,,
60,7564,60,0.29421675241856765,1.0,1.0,,,,,,,,,
61,7597,61,0.29431892212014643,1.0,1.0,,,,,,,,,
62,7638,62,0.3405003200657666,0.0,0.0,,,,,,,,,
63,7671,63,0.29640925815911034,1.0,1.0,,,,,,,,,
64,7728,64,0.2233757593235558,1.0,1.0,,,,,,,,,
65,7769,65,0.362945802602917,0.0,0.0,0.21933113160594075,0.0,0.0,,,,,,
66,7882,66,0.38354881175494354,0.0,0.0,,,,,,,,,
67,8043,67,0.26270228287452485,1.0,1.0,,,,,,,,,
68,8172,68,0.2912171136370944,1.0,1.0,,,,,,,,,
69,8213,69,0.2679654289199971,1.0,1.0,,,,,,,,,
70,8262,70,0.3270251201679154,0.0,0.0,,,,,,,,,
71,8351,71,0.25320816434974736,1.0,1.0,,,,,,,,,
72,8384,72,0.22373570263043804,0.0,0.0,,,,,,,,,
73,8697,73,0.2430451729643385,1.0,1.0,0.3581365138020677,1.0,1.0,,,,,,
74,8770,74,0.2863843316289907,1.0,1.0,,,,,,,,,
75,8851,75,0.2912118969927542,1.0,1.0,,,,,,,,,
76,8932,76,0.22585180108551872,1.0,1.0,,,,,,,,,
77,9037,77,0.354840094172351,0.0,0.0,,,,,,,,,
78,9094,78,0.3136238937781725,1.0,1.0,,,,,,,,,
79,9119,79,0.22209214468020946,1.0,1.0,,,,,,,,,
80,9144,80,0.3726128297198253,0.0,0.0,,,,,,,,,
81,9233,81,0.23442243830445067,1.0,1.0,0.31556836253963416,0.0,0.0,,,,,,
82,9274,82,0.4010196467116476,0.0,0.0,,,,,,,,,
83,9307,83,0.1386683677468682,1.0,1.0,,,,,,,,,
84,9372,84,0.3026199938872196,0.0,0.0,,,,,,,,,
85,9917,85,0.25940069356870754,1.0,1.0,,,,,,,,,
86,9990,86,0.2746829727932992,1.0,1.0,,,,,,,,,
87,10207,87,0.33120247012023657,1.0,1.0,,,,,,,,,
88,10296,88,0.33795137712573214,1.0,1.0,,,,,,,,,
89,10353,89,0.32121831364430753,0.0,0.0,0.19748517672769594,0.0,0.0,,,,,,
90,10474,90,0.34603008248751094,0.0,0.0,,,,,,,,,
91,10675,91,0.3234763987007755,1.0,1.0,,,,,,,,,
92,10804,92,0.2529345084443776,1.0,1.0,,,,,,,,,
93,10861,93,0.32449733561370525,0.0,0.0,,,,,,,,,
94,11158,94,0.213477037798421,1.0,1.0,,,,,,,,,
95,11263,95,0.36131604594769534,0.0,0.0,,,,,,,,,
96,11352,96,0.21230781832339501,1.0,1.0,,,,,,,,,
97,11401,97,0.28508467630211576,0.0,0.0,0.2378395186410506,1.0,1.0,,,,,,
98,11434,98,0.19218487771213405,1.0,1.0,,,,,,,,,
99,11587,99,0.2576226251033643,1.0,1.0,,,,,,,,,
100,11684,100,0.28133416389143046,0.0,0.0,,,,,,,,,
101,11845,101,0.22724534976874564,1.0,1.0,,,,,,,,,
102,12046,102,0.2583440536684356,1.0,1.0,,,,0.529411792755127,0.4444444444444444,0.9230769230769231,0.8754578754578755,0.8798821293056374,0.6
103,12079,103,0.10719243656203617,1.0,1.0,,,,,,,,,
104,12112,104,0.15613556670541584,1.0,1.0,,,,,,,,,
105,12161,105,0.24940215195480656,1.0,1.0,0.29011150491860466,0.0,0.0,,,,,,
106,12250,106,0.19146058386081266,1.0,1.0,,,,,,,,,
107,12339,107,0.23587225554947513,1.0,1.0,,,,,,,,,
108,12428,108,0.22473970491231413,1.0,1.0,,,,,,,,,
109,12477,109,0.18602279232194024,1.0,1.0,,,,,,,,,
110,12558,110,0.2541182293616294,0.0,0.0,,,,,,,,,
111,12599,111,0.35711414379067724,0.0,0.0,,,,,,,,,
112,12680,112,0.2024759034719318,1.0,1.0,,,,,,,,,
113,12761,113,0.25958579972095325,1.0,1.0,0.27787383654649606,1.0,1.0,,,,,,
114,12962,114,0.29953823848316463,1.0,1.0,,,,,,,,,
115,13035,115,0.23318907250132825,1.0,1.0,,,,,,,,,
116,13164,116,0.2747463616308664,0.0,0.0,,,,,,,,,
117,13245,117,0.2549666105257347,0.0,0.0,,,,,,,,,
118,13310,118,0.3121977054222953,0.0,0.0,,,,,,,,,
119,13367,119,0.26262544115140507,1.0,1.0,,,,,,,,,
120,13584,120,0.3144094201310105,1.0,1.0,,,,,,,,,
121,13681,121,0.20217997026787393,1.0,1.0,0.2567724374202292,1.0,1.0,,,,,,
122,13778,122,0.2391346251185799,1.0,1.0,,,,,,,,,
123,13851,123,0.24726336110806085,1.0,1.0,,,,,,,,,
124,13884,124,0.23260367978618887,1.0,1.0,,,,,,,,,
125,13925,125,0.1985440820305121,1.0,1.0,,,,,,,,,
126,13950,126,0.25934258457273246,1.0,1.0,,,,,,,,,
127,14071,127,0.2792283388973253,1.0,1.0,,,,,,,,,
128,14320,128,0.27981532772433176,1.0,1.0,,,,,,,,,
129,14433,129,0.35231442918250516,0.0,0.0,0.24612134571372737,1.0,1.0,,,,,,
130,14490,130,0.48874664427712555,0.0,0.0,,,,,,,,,
131,14523,131,0.2299894971235517,1.0,1.0,,,,,,,,,
132,14564,132,0.2763055746536702,1.0,1.0,,,,,,,,,
133,14677,133,0.21281198021110218,1.0,1.0,,,,,,,,,
134,14734,134,0.25963397110400754,1.0,1.0,,,,,,,,,
