,text,sentiment
0,"The BNB was fantastic! Great communal space, sleeps a ton comfortably and the AC held up all weekend in 100+ degree days. Would absolutely recommend for any large groups looking to enjoy Austin.",There is nothing negative mentioned in this review.
1,"Great house for large groups, they made it very easy. Location is great, walkable to rainy st and short uber to downtown",N/A
2,This house was perfect for a large bachelorette trip. Preston was easy to get in touch with and always responded quickly.,N/A
3,"Preston was an excellent host. our flights got delayed and he allowed us to hang out at the house throughout the day. awesome set up, we were 16 guys and were all comfortable! 

Thank you Preston for a great stay!",N/A
4,Good,There is nothing negative mentioned in this review.
5,Perfect for bachelor party,N/A
6,Fabulous host and perfect spot for large group,N/A
7,"Came here for bachelorette weekend, 10/10. Can’t beat the location and Preston was the best host I’ve ever had on Airbnb.","""Can't beat the location"""
8,"We had an awesome time at Preston's house with a group of 13 guys on a bachelor party. The location is great, walking distance to Rainey and the river front path and the backyard is amazing (the photos don't do it justice IMO). The house was also very clean when we arrived. Preston sent some great food recs beforehand too if you're looking for any nearby (Las Trancas and Celote are great, very close by).",There is nothing negative mentioned in this review.
9,Can't beat this location. Super easy walk to Rainey Street.,There is nothing negative mentioned in this review.
10,Stay was perfect! Incredible communication from Preston and great location.,N/A
11,House was exactly as advertised. Perfect for a large group of people that want to be within walking distance of most anything in downtown Austin. Would definitely stay again!,N/A
12,Great house for large groups! Close to downtown and easy to get around! Would stay here again!!,N/A
13,This house is perfect for a large group (bachelor/bachelorette party).  The layout is awesome for a large group as the kitchen/living room area was a perfect spot for hanging out.  The backyard is also a great space and the AirBnB description doesn't do it justice!  Plenty of room for groups of 16 or more and the location is literally a few minute walk from Rainey Street which is a huge perk.  Preston was super responsive and very helpful in terms of locking down details for our trip.,N/A
14,Preston’s place was awesome. Very accommodating for a large party. Most of us shared a bed and some had trundles that pulled out. Only a 5 minute walk to Rainy street!,N/A
15,Great house with proximity to all bars & restaurants in Austin! Preston was very clear with all directions/guidelines which made our stay that much better. I would highly recommend this house for large group stays.,There is nothing negative mentioned in this review.
16,Great location. Walkable to Rainey St and lots of restaurants.,There is nothing negative mentioned in this review.
17,The house was perfect for our bachelorette party. Plenty of space for all of us without being on top of one another. You cannot beat the location.,N/A
18,"Preston's place is the perfect house for a gathering of friends visiting Austin. The location can't be beat, and literally you can walk everywhere. No need to taxi or Uber, just walk or scooter.  The house itself is better in person as compared to the pictures online.  I would highly recommend to anyone traveling to Austin to book.  Preston also help us out with restaurant recommendations which were clutch!",N/A
19,"The Airbnb was beyond perfect for the bachelor party. Preston was flexible with check in and check out. 

The house itself is much better in person than in photos. Photos don’t do it justice and we were incredibly grateful we chose to stay here",N/A
20,"This house 100% made our trip as great as it was! The hospitality and the amount of care and all the extras that made this house as great as it was. All of our memories will be thought of with this house in mind!

Everyone needs to stay here!",There is nothing negative mentioned in this review.
21,Great house for any bachelor party. Within walking distance to Rainey which was very helpful when you have a large group that is similar to herding cats.,There is nothing negative mentioned in this review.
22,"This house has everything from room to location. Absolutely perfect for a Bach/bachelorette weekend or stay. Preston, was extremely timely one any questions we had and was extremely responsive from start to finish. If your going to ATX with a big group I would definitely give this place a look. It’s perfect for a large group.",N/A
23,"If you are looking to host any gathering, this is the place! It’s huge, comfortable, and, most importantly, a 5 min walk to Rainey Street. 

I cannot recommend more for a bachelor/bachelorette party!",N/A
24,Awesome host! Preston was way above expectations!,N/A
25,"Preston was easy to communicate with. The place was as advertised and was clean, had plenty of towels, cleaning supplies and easy to follow instructions. The Airbnb is located close to Rainey Street and DT Austin and was extremely convenient for our purposes of going out and being social.",N/A
26,great house and perfect location!,There is nothing negative mentioned in this review.
27,"This is a great space, parking is difficult though!","""Difficult parking"""
28,"Great location, and super clean.",There is nothing negative mentioned in this review.
29,"Where do I start?! 

We booked Preston's place for a 15 person bachelorette party weekend. Preston was very quick to respond regarding early check-in and recommendations. He was very accommodating and allowed us to check in early (with no extra charge) and provided us a long list of recommendations for the weekend. He provided us very detailed check-in/check-out guides so we were very prepared. When we checked in, we were so surprised at how nice, BEAUTIFULLY decorated, spacious, and clean the place was. There were plenty of enough beds, space, and room for all 15 of us. The backyard was one of the most used areas! 

The place had (Hidden by Airbnb) speakers with a how-to guide on how to operate so we didn't have to bring our own. Everything was sanitized and very clean. We had a question about the outdoor lights and Preston was prompt in responding. 

Highly recommend booking Preston's place for any occasion and you are sure to have a great time!

Thank you again, Preston!",N/A
